"relative_path","extension","length","sha256","source_path"
"datan\common\16dam.bmp",".bmp","49206","4E1AF9A0473532C0FB830AB42B20014D7078FD262DC10C66F99E2D4116E65ABC","C:\Program Files (x86)\Nova1492\datan\common\16dam.bmp"
"datan\common\16dam.xfi",".xfi","20","62869CAF6D2428736F243B6E099F463253FE241D23E01BCB579CF979B8306C36","C:\Program Files (x86)\Nova1492\datan\common\16dam.xfi"
"datan\common\16dama.bmp",".bmp","17462","904400EB2ADF618215145136702E3CD18B5961EA66FF0784008BD625C3A0C6D4","C:\Program Files (x86)\Nova1492\datan\common\16dama.bmp"
"datan\common\1emblem-16.BMP",".bmp","9268","B78EC620253453A11DBC67101796AF7C39CD75BED2529FB3FEDB04EE1B70EAC4","C:\Program Files (x86)\Nova1492\datan\common\1emblem-16.BMP"
"datan\common\1emblem.bmp",".bmp","33844","7265BF9C715B6303ACADFC99984D745BF612F6B5841A0B689B1F29778AFA361C","C:\Program Files (x86)\Nova1492\datan\common\1emblem.bmp"
"datan\common\1vs1.tga",".tga","493890","C643064A41076663C9C25B0CEC5139FC0269930B857D159B9BEABA8FB31F8E44","C:\Program Files (x86)\Nova1492\datan\common\1vs1.tga"
"datan\common\2.tga",".tga","442198","DE5F0F12B6503963BBC95D204F305E5C439F494240694D8FCAFDEA7965EF9E5B","C:\Program Files (x86)\Nova1492\datan\common\2.tga"
"datan\common\20010.bmp",".bmp","49208","EF9570A80361B77B63119719332C868F07BCC03D9FC812B158B97393394477BA","C:\Program Files (x86)\Nova1492\datan\common\20010.bmp"
"datan\common\20011.bmp",".bmp","49208","8BAA086C41EBA8CDE9DC738C32D4D5C5F52F1BCC2ACB082E5D8149ACF86C3857","C:\Program Files (x86)\Nova1492\datan\common\20011.bmp"
"datan\common\20015.bmp",".bmp","49208","957F70D919750F1A9CCEA00F86308A3A1233E0D475A30425F70B5B6FC12CDDDB","C:\Program Files (x86)\Nova1492\datan\common\20015.bmp"
"datan\common\20019.bmp",".bmp","49208","4E34E50F8629FB4E9E6EEE7F936BF7593FB1DB7C6F499B40758125E22DA88807","C:\Program Files (x86)\Nova1492\datan\common\20019.bmp"
"datan\common\20023.bmp",".bmp","49208","9321895AA9CE9F83C2B111BEBE7778E368C2F9F27AA934BB79B043424BB97DA3","C:\Program Files (x86)\Nova1492\datan\common\20023.bmp"
"datan\common\20027.bmp",".bmp","49208","A8FF8B3D6681A77D420267F6E0CF4C612D1A60D4FE53046907A2A0A6EEB3B4D5","C:\Program Files (x86)\Nova1492\datan\common\20027.bmp"
"datan\common\2003-b.tga",".tga","460454","BF58052705B4B06C76CE38F6CB328A2BD973DB3199E925CA357ADB5756745086","C:\Program Files (x86)\Nova1492\datan\common\2003-b.tga"
"datan\common\20031.bmp",".bmp","49208","A0DD6B4C8A18A7D54BBE6BA0D49D23D2584083115071300A1778DCB8741165D8","C:\Program Files (x86)\Nova1492\datan\common\20031.bmp"
"datan\common\20035.bmp",".bmp","49208","9CA80B563577FE4F475FE9C6E6CB9511AA14EEBCDFD4E2A96405CAAA4AF11C15","C:\Program Files (x86)\Nova1492\datan\common\20035.bmp"
"datan\common\20039.bmp",".bmp","49208","D48E07067F90A532D6BB76882052B8A1A905D067679734427AEF87BEE1D45DBE","C:\Program Files (x86)\Nova1492\datan\common\20039.bmp"
"datan\common\20043.bmp",".bmp","49208","62566BB4EB4F414606B109C6BB26B78FAA148E8F44BADAF7B3041A6A2672EFD4","C:\Program Files (x86)\Nova1492\datan\common\20043.bmp"
"datan\common\20047.bmp",".bmp","49208","D685E669F5BB69BFCAF9BB1367EBD91516C49CC2D8DAF660EFF27F6742CFF833","C:\Program Files (x86)\Nova1492\datan\common\20047.bmp"
"datan\common\20051.bmp",".bmp","49208","9707B21E34E7BA438EF3C6DD03608EA253EDB3CC0F272BE8235CF5CA02993BD2","C:\Program Files (x86)\Nova1492\datan\common\20051.bmp"
"datan\common\20055.bmp",".bmp","49208","1CEAFA86BF5D23A6A6F91DA8C7B78EBF433CBE3DBCD59082BFCD7D2DB5111B73","C:\Program Files (x86)\Nova1492\datan\common\20055.bmp"
"datan\common\20059.bmp",".bmp","49208","CFBFC77F043C8CE724AE8702795155AF64E5F02C2F98BD39713D34708FC945C5","C:\Program Files (x86)\Nova1492\datan\common\20059.bmp"
"datan\common\20063.bmp",".bmp","49208","31E626B9311071595ADFC79142CC709F5B45A1B48683377B4CC8CFEB9C7AB865","C:\Program Files (x86)\Nova1492\datan\common\20063.bmp"
"datan\common\20067.bmp",".bmp","49208","EF9570A80361B77B63119719332C868F07BCC03D9FC812B158B97393394477BA","C:\Program Files (x86)\Nova1492\datan\common\20067.bmp"
"datan\common\21dam.bmp",".bmp","196664","3926CB901A74C0828650D1565474F707214A7F4C0E2625BE29D5D45AEA2318EF","C:\Program Files (x86)\Nova1492\datan\common\21dam.bmp"
"datan\common\21dam.xfi",".xfi","20","984C81CB2890E66D43F70909DA632573FAE9F723E145BF61618B19CE9F0972F4","C:\Program Files (x86)\Nova1492\datan\common\21dam.xfi"
