"RelativePath","Extension","Length","LastWriteTimeUtc"
"datan\common\acp2wtt.tga",".tga","3160","2012-12-17T15:00:00.0000000Z"
"datan\common\acp2wtt.xfi",".xfi","64","2012-12-17T15:00:00.0000000Z"
"datan\common\acp3pwr.gx",".gx","4054","2012-12-17T15:00:00.0000000Z"
"datan\common\acp3pwr.tga",".tga","1941","2012-12-17T15:00:00.0000000Z"
"datan\common\acp3pwr.xfi",".xfi","64","2012-12-17T15:00:00.0000000Z"
"datan\common\acp3wtt4.bmp",".bmp","196664","2012-12-17T15:00:00.0000000Z"
"datan\common\acpAP.GX",".gx","4159","2012-12-17T15:00:00.0000000Z"
"datan\common\acpap.xfi",".xfi","13","2012-12-17T15:00:00.0000000Z"
"datan\common\acpDP.GX",".gx","5572","2012-12-17T15:00:00.0000000Z"
"datan\common\acpdp.xfi",".xfi","13","2012-12-17T15:00:00.0000000Z"
"datan\common\acpdual.GX",".gx","7667","2012-12-17T15:00:00.0000000Z"
"datan\common\acpdual.xfi",".xfi","22","2012-12-17T15:00:00.0000000Z"
"datan\common\acpdualh.GX",".gx","7662","2012-12-17T15:00:00.0000000Z"
"datan\common\acpdualh.xfi",".xfi","22","2012-12-17T15:00:00.0000000Z"
"datan\common\acpdualp.GX",".gx","7668","2012-12-17T15:00:00.0000000Z"
"datan\common\acpdualp.tga",".tga","4008","2012-12-17T15:00:00.0000000Z"
"datan\common\acpdualp.xfi",".xfi","22","2012-12-17T15:00:00.0000000Z"
"datan\common\acphp100.GX",".gx","5268","2012-12-17T15:00:00.0000000Z"
"datan\common\acphp100.xfi",".xfi","22","2012-12-17T15:00:00.0000000Z"
"datan\common\acphp150.GX",".gx","5268","2012-12-17T15:00:00.0000000Z"
"datan\common\acphp150.xfi",".xfi","22","2012-12-17T15:00:00.0000000Z"
"datan\common\acphp180.GX",".gx","5268","2012-12-17T15:00:00.0000000Z"
"datan\common\acphp180.xfi",".xfi","22","2012-12-17T15:00:00.0000000Z"
"datan\common\acphp210.GX",".gx","5262","2012-12-17T15:00:00.0000000Z"
"datan\common\acphp210.tga",".tga","1765","2012-12-17T15:00:00.0000000Z"
"datan\common\acphp210.xfi",".xfi","22","2012-12-17T15:00:00.0000000Z"
"datan\common\acppw10.GX",".gx","7665","2012-12-17T15:00:00.0000000Z"
"datan\common\acppw10.xfi",".xfi","22","2012-12-17T15:00:00.0000000Z"
"datan\common\acppw15.GX",".gx","7665","2012-12-17T15:00:00.0000000Z"
"datan\common\acppw15.xfi",".xfi","22","2012-12-17T15:00:00.0000000Z"
"datan\common\acppw20.GX",".gx","7665","2012-12-17T15:00:00.0000000Z"
"datan\common\acppw20.xfi",".xfi","22","2012-12-17T15:00:00.0000000Z"
"datan\common\acppw5.GX",".gx","7664","2012-12-17T15:00:00.0000000Z"
"datan\common\acppw5.tga",".tga","3136","2012-12-17T15:00:00.0000000Z"
"datan\common\acppw5.xfi",".xfi","22","2012-12-17T15:00:00.0000000Z"
"datan\common\acpRP.GX",".gx","5572","2012-12-17T15:00:00.0000000Z"
"datan\common\acprp.xfi",".xfi","13","2012-12-17T15:00:00.0000000Z"
"datan\common\acpSP.GX",".gx","4159","2012-12-17T15:00:00.0000000Z"
"datan\common\acpsp.xfi",".xfi","13","2012-12-17T15:00:00.0000000Z"
"datan\common\acptw1.tga",".tga","24620","2012-12-17T15:00:00.0000000Z"
"datan\common\acptw2.tga",".tga","24620","2012-12-17T15:00:00.0000000Z"
"datan\common\acptwr.GX",".gx","13474","2012-12-17T15:00:00.0000000Z"
"datan\common\acptwr.tga",".tga","11411","2012-12-17T15:00:00.0000000Z"
"datan\common\acptwr.xfi",".xfi","22","2012-12-17T15:00:00.0000000Z"
"datan\common\acptwr2.GX",".gx","13406","2012-12-17T15:00:00.0000000Z"
"datan\common\acptwr2.xfi",".xfi","22","2012-12-17T15:00:00.0000000Z"
"datan\common\acptwr3.GX",".gx","13406","2012-12-17T15:00:00.0000000Z"
"datan\common\acptwr3.xfi",".xfi","22","2012-12-17T15:00:00.0000000Z"
